2023-03-14 03:31:44,034 [INFO   ] [APP] allin20w started with arguments={rtg.py, run, WLowBuy2.py, LowBuy.py, FastM2.py, allin50orderfillLiq2.py, allin50Liq2.py, allin50DEBUG2.py, autoBeta.py, allin20w.py}
2023-03-14 03:31:44,035 [INFO   ] [APP] configuration={"Execution":{"Host":"127.0.0.1","Port":12345},"Information":{"Type":"mmap","Name":"info.dat"},"TeamName":"allin20w","Secret":"secret"}
2023-03-14 03:31:44,054 [INFO   ] [CONNECTION] fd=776 connection established: peer=127.0.0.1:12345
2023-03-14 03:31:48,730 [INFO   ] [TRADER] Order Book start!
2023-03-14 03:31:48,730 [INFO   ] [TRADER] Order Book start!
2023-03-14 03:31:48,982 [INFO   ] [TRADER] Order Book start!
2023-03-14 03:31:48,982 [INFO   ] [TRADER] Order Book start!
2023-03-14 03:31:48,984 [INFO   ] [TRADER] received order status for order 1 with fill volume 0 remaining 1 and fees 0
2023-03-14 03:31:48,984 [INFO   ] [TRADER] send buy order with id 2, price 148000,lot 49
2023-03-14 03:31:48,984 [INFO   ] [TRADER] send buy order with id 3, price 148000,lot 49
2023-03-14 03:31:48,984 [INFO   ] [TRADER] send sell order with id 4, price 148600,lot 49
2023-03-14 03:31:48,984 [INFO   ] [TRADER] send sell order with id 5, price 148600,lot 49
2023-03-14 03:31:48,984 [INFO   ] [TRADER] received order status for order 1 with fill volume 0 remaining 0 and fees 0
2023-03-14 03:31:48,984 [INFO   ] [TRADER] received order status for order 2 with fill volume 0 remaining 24 and fees 0
2023-03-14 03:31:48,984 [INFO   ] [TRADER] received order status for order 3 with fill volume 0 remaining 24 and fees 0
2023-03-14 03:31:48,984 [INFO   ] [TRADER] received order status for order 4 with fill volume 0 remaining 24 and fees 0
2023-03-14 03:31:48,984 [INFO   ] [TRADER] received order status for order 5 with fill volume 0 remaining 24 and fees 0
2023-03-14 03:31:49,218 [INFO   ] [TRADER] OrderFill START!!!!! Position:0
2023-03-14 03:31:49,218 [INFO   ] [TRADER] id 6 , BID FUTURE
2023-03-14 03:31:49,218 [INFO   ] [TRADER] OrderFill END!!!!! Position:-24
2023-03-14 03:31:49,218 [INFO   ] [TRADER] received order status for order 5 with fill volume 24 remaining 0 and fees -356
2023-03-14 03:31:49,219 [INFO   ] [TRADER] received trade ticks for instrument 1 with sequence number 2
2023-03-14 03:31:49,219 [INFO   ] [TRADER] received hedge filled for order 6 with average price 148400 and volume 24
2023-03-14 03:31:49,266 [INFO   ] [TRADER] Order Book start!
2023-03-14 03:31:49,266 [INFO   ] [TRADER] Order Book start!
2023-03-14 03:31:49,269 [INFO   ] [TRADER] received order status for order 7 with fill volume 0 remaining 1 and fees 0
2023-03-14 03:31:49,269 [INFO   ] [TRADER] send buy order with id 8, price 147900,lot 49
2023-03-14 03:31:49,269 [INFO   ] [TRADER] send buy order with id 9, price 147900,lot 49
2023-03-14 03:31:49,269 [INFO   ] [TRADER] received order status for order 7 with fill volume 0 remaining 0 and fees 0
2023-03-14 03:31:49,270 [INFO   ] [TRADER] received order status for order 2 with fill volume 0 remaining 0 and fees 0
2023-03-14 03:31:49,270 [INFO   ] [TRADER] received order status for order 3 with fill volume 0 remaining 0 and fees 0
2023-03-14 03:31:49,270 [INFO   ] [TRADER] received order status for order 8 with fill volume 0 remaining 24 and fees 0
2023-03-14 03:31:49,270 [INFO   ] [TRADER] received order status for order 9 with fill volume 0 remaining 24 and fees 0
2023-03-14 03:31:49,449 [INFO   ] [TRADER] Order Book start!
2023-03-14 03:31:49,449 [INFO   ] [TRADER] Order Book start!
2023-03-14 03:31:49,450 [INFO   ] [TRADER] received trade ticks for instrument 1 with sequence number 3
2023-03-14 03:31:49,452 [INFO   ] [TRADER] received order status for order 10 with fill volume 0 remaining 1 and fees 0
2023-03-14 03:31:49,452 [INFO   ] [TRADER] send buy order with id 11, price 148100,lot 49
2023-03-14 03:31:49,452 [INFO   ] [TRADER] send buy order with id 12, price 148100,lot 49
2023-03-14 03:31:49,452 [INFO   ] [TRADER] send sell order with id 13, price 148700,lot 49
