Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,FastM2Liq,Tick,0,0,0,0,,,0,0,0,OK
0.0,FastM3,Tick,0,0,0,0,,,0,0,0,OK
0.0,WLowBuy,Tick,0,0,0,0,,,0,0,0,OK
0.0,FastM2,Tick,0,0,0,0,,,0,0,0,OK
0.0,WLiq,Tick,0,0,0,0,,,0,0,0,OK
0.0,WLowBuy2,Tick,0,0,0,0,,,0,0,0,OK
0.0,allinM,Tick,0,0,0,0,,,0,0,0,OK
0.203,FastM2Liq,Tick,0,0,0,0,,,0,0,0,OK
0.203,FastM3,Tick,0,0,0,0,,,0,0,0,OK
0.203,WLowBuy,Tick,0,0,0,0,,,0,0,0,OK
0.203,FastM2,Tick,0,0,0,0,,,0,0,0,OK
0.203,WLiq,Tick,0,0,0,0,,,0,0,0,OK
0.203,WLowBuy2,Tick,0,0,0,0,,,0,0,0,OK
0.203,allinM,Tick,0,0,0,0,,,0,0,0,OK
0.531,FastM2Liq,Tick,0,0,0,0,,,0,0,0,OK
0.531,FastM3,Tick,0,0,0,0,,,0,0,0,OK
0.531,WLowBuy,Tick,0,0,0,0,,,0,0,0,OK
0.531,FastM2,Tick,0,0,0,0,,,0,0,0,OK
0.531,WLiq,Tick,0,0,0,0,,,0,0,0,OK
0.531,WLowBuy2,Tick,0,0,0,0,,,0,0,0,OK
0.531,allinM,Tick,0,0,0,0,,,0,0,0,OK
0.797,FastM2Liq,Tick,0,0,0,0,,,0,0,0,OK
0.797,FastM3,Tick,0,0,0,0,,,0,0,0,OK
0.797,WLowBuy,Tick,0,0,0,0,,,0,0,0,OK
0.797,FastM2,Tick,0,0,0,0,,,0,0,0,OK
0.797,WLiq,Tick,0,0,0,0,,,0,0,0,OK
0.797,WLowBuy2,Tick,0,0,0,0,,,0,0,0,OK
0.797,allinM,Tick,0,0,0,0,,,0,0,0,OK
1.047,FastM2Liq,Tick,0,32,-32,32,147300,147100,-472,3672,-2728,OK
1.047,FastM3,Tick,0,17,-17,17,147300,147100,-250,3650,250,OK
1.047,WLowBuy,Tick,0,0,0,0,147300,147100,0,0,0,OK
1.047,FastM2,Tick,0,23,-23,23,147300,147100,-339,4939,339,OK
1.047,WLiq,Tick,0,0,0,0,147300,147100,0,0,0,OK
1.047,WLowBuy2,Tick,0,0,0,0,147300,147100,0,0,0,OK
1.047,allinM,Tick,0,49,-49,49,147300,147100,-721,5621,-4179,OK
1.281,FastM2Liq,Tick,1,32,-31,31,147000,147100,-443,3743,6843,OK
1.281,FastM3,Tick,0,17,-17,17,147000,147100,-250,3650,5350,OK
1.281,WLowBuy,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.281,FastM2,Tick,0,23,-23,23,147000,147100,-339,4939,7239,OK
1.281,WLiq,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.281,WLowBuy2,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.281,allinM,Tick,0,49,-49,49,147000,147100,-721,5621,10521,OK
1.453,FastM2Liq,Tick,1,32,-31,31,147000,147100,-443,3743,6843,OK
1.453,FastM3,Tick,0,17,-17,17,147000,147100,-250,3650,5350,OK
1.453,WLowBuy,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.453,FastM2,Tick,0,23,-23,23,147000,147100,-339,4939,7239,OK
1.453,WLiq,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.453,WLowBuy2,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.453,allinM,Tick,0,49,-49,49,147000,147100,-721,5621,10521,OK
1.703,FastM2Liq,Tick,1,32,-31,31,147000,147100,-443,3743,6843,OK
1.703,FastM3,Tick,0,17,-17,17,147000,147100,-250,3650,5350,OK
1.703,WLowBuy,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.703,FastM2,Tick,0,23,-23,23,147000,147100,-339,4939,7239,OK
1.703,WLiq,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.703,WLowBuy2,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.703,allinM,Tick,0,49,-49,49,147000,147100,-721,5621,10521,OK
