Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,auto,Tick,0,0,0,0,,,0,0,0,OK
0.219,auto,Tick,0,0,0,0,,,0,0,0,OK
0.469,auto,Tick,0,0,0,0,,,0,0,0,OK
0.797,auto,Tick,0,10,-10,10,147600,,-147,147,147,OK
1.032,auto,Tick,0,10,-10,10,147600,147100,-147,147,-1853,OK
1.297,auto,Tick,1,10,-9,9,147000,147100,-162,262,1162,OK
1.547,auto,Tick,1,10,-9,9,147000,147100,-162,262,1162,OK
1.766,auto,Tick,1,10,-9,9,147000,147100,-162,262,1162,OK
1.985,auto,Tick,1,10,-9,9,147000,147100,-162,262,1162,OK
2.282,auto,Tick,1,10,-9,9,147000,146900,-162,262,-638,OK
2.532,auto,Tick,11,10,1,-1,146400,146900,-309,-1591,-1791,OK
2.719,auto,Tick,11,10,1,-1,146400,146900,-309,-1591,-1791,OK
2.953,auto,Tick,11,10,1,-1,146400,146900,-309,-1591,-1791,OK
3.25,auto,Tick,11,10,1,-1,146400,146900,-309,-1591,-1791,OK
3.516,auto,Tick,11,20,-9,9,147500,146900,-456,-1444,-3244,OK
3.766,auto,Tick,21,20,1,-1,146300,146900,-603,-2297,-2497,OK
4.047,auto,Tick,21,20,1,-1,146300,146900,-603,-2297,-2497,OK
4.266,auto,Tick,21,20,1,-1,146300,146900,-603,-2297,-2497,OK
4.485,auto,Tick,21,20,1,-1,146300,146900,-603,-2297,-2497,OK
4.719,auto,Tick,31,20,11,-11,146300,146900,-750,-2150,-4350,OK
5.0,auto,Tick,31,20,11,-11,146300,146900,-750,-2150,-4350,OK
5.25,auto,Tick,31,20,11,-11,146300,146800,-750,-2150,-4350,OK
5.516,auto,Tick,31,20,11,-11,146300,146800,-750,-2150,-4350,OK
5.703,auto,Tick,31,20,11,-11,146300,146800,-750,-2150,-4350,OK
6.016,auto,Tick,31,30,1,-1,147000,146800,-456,-2444,-2244,OK
6.25,auto,Tick,31,40,-9,9,147000,146800,-162,-1738,-3538,OK
6.547,auto,Tick,31,50,-19,19,147000,146800,132,968,-2832,OK
6.766,auto,Tick,31,60,-29,29,147200,146700,426,3674,-2126,OK
7.047,auto,Tick,31,60,-29,29,147200,146900,426,3674,-2126,OK
7.266,auto,Tick,31,60,-29,29,147200,146900,426,3674,-2126,OK
7.469,auto,Tick,31,60,-29,29,147200,146900,426,3674,-2126,OK
7.719,auto,Tick,31,60,-29,29,147200,146900,426,3674,-2126,OK
8.0,auto,Tick,31,60,-29,29,147200,146900,426,3674,-2126,OK
8.25,auto,Tick,41,60,-19,19,147000,146900,279,821,-1079,OK
8.453,auto,Tick,41,60,-19,19,147000,146900,279,821,-1079,OK
8.797,auto,Tick,41,60,-19,19,147000,146900,279,821,-1079,OK
9.016,auto,Tick,51,60,-9,9,146700,146900,132,-1032,768,OK
9.266,auto,Tick,61,60,1,-1,146400,146900,425,1675,1475,OK
9.5,auto,Tick,71,60,11,-11,146400,146900,718,4382,2182,OK
9.703,auto,Tick,81,60,21,-21,146400,146900,1011,6089,1889,OK
10.032,auto,Tick,81,60,21,-21,146400,146900,1011,6089,1889,OK
10.219,auto,Tick,91,60,31,-31,146400,146900,1304,7796,1596,OK
10.469,auto,Tick,101,60,41,-41,146400,146900,1597,10503,2303,OK
10.75,auto,Tick,111,70,41,-41,146500,147000,1744,7356,-844,OK
10.969,auto,Tick,111,80,31,-31,147300,147000,1597,3503,9703,OK
11.282,auto,Tick,111,80,31,-31,147300,147000,1597,3503,9703,OK
11.453,auto,Tick,111,80,31,-31,147300,147000,1597,3503,9703,OK
11.766,auto,Tick,111,90,21,-21,147400,147200,1450,650,4850,OK
11.953,auto,Tick,111,90,21,-21,147400,147200,1450,650,4850,OK
12.282,auto,Tick,111,90,21,-21,147400,147200,1450,650,4850,OK
12.516,auto,Tick,111,90,21,-21,147400,147200,1450,650,4850,OK
12.735,auto,Tick,111,90,21,-21,147400,147200,1450,650,4850,OK
13.0,auto,Tick,111,90,21,-21,147400,147200,1450,650,4850,OK
13.297,auto,Tick,121,90,31,-31,146700,147200,1303,2797,-3403,OK
13.453,auto,Tick,121,90,31,-31,146700,147200,1303,2797,-3403,OK
13.782,auto,Tick,121,90,31,-31,146700,147200,1303,2797,-3403,OK
14.047,auto,Tick,121,97,24,-24,146700,147200,1508,492,-4308,OK
14.297,auto,Tick,121,97,24,-24,146700,147200,1508,492,-4308,OK
14.5,auto,Tick,121,97,24,-24,146700,147200,1508,492,-4308,OK
14.735,auto,Tick,121,97,24,-24,146700,147200,1508,492,-4308,OK
14.969,auto,Tick,121,97,24,-24,146700,147200,1508,492,-4308,OK
15.328,auto,Tick,121,97,24,-24,146700,147200,1508,492,-4308,OK
15.547,auto,Tick,121,97,24,-24,146900,146800,1508,492,2892,OK
15.797,auto,Tick,121,97,24,-24,146900,146900,1508,492,492,OK
16.016,auto,Tick,121,97,24,-24,146900,146900,1508,492,492,OK
16.297,auto,Tick,121,107,14,-14,146600,146900,1801,-1801,-4601,OK
16.469,auto,Tick,121,107,14,-14,146600,146900,1801,-1801,-4601,OK
16.797,auto,Tick,121,107,14,-14,146600,146900,1801,-1801,-4601,OK
17.0,auto,Tick,121,107,14,-14,146600,146900,1801,-1801,-4601,OK
17.266,auto,Tick,121,107,14,-14,146600,146900,1801,-1801,-4601,OK
17.5,auto,Tick,121,107,14,-14,146600,146900,1801,-1801,-4601,OK
17.735,auto,Tick,131,107,24,-24,146900,146900,2095,-1095,-1095,OK
18.0,auto,Tick,141,107,34,-34,146600,146900,1948,1052,-5748,OK
18.313,auto,Tick,141,107,34,-34,146600,146900,1948,1052,-5748,OK
18.453,auto,Tick,141,107,34,-34,146600,147100,1948,1052,-5748,OK
18.782,auto,Tick,141,107,34,-34,146600,147100,1948,1052,-5748,OK
18.953,auto,Tick,141,107,34,-34,146600,147100,1948,1052,-5748,OK
19.266,auto,Tick,141,107,34,-34,146600,147100,1948,1052,-5748,OK
19.485,auto,Tick,141,107,34,-34,146600,147200,1948,1052,-5748,OK
19.766,auto,Tick,141,107,34,-34,146600,147200,1948,1052,-5748,OK
20.032,auto,Tick,141,107,34,-34,146600,147200,1948,1052,-5748,OK
20.203,auto,Tick,151,107,44,-44,146900,147200,2242,3758,-5042,OK
20.532,auto,Tick,161,107,54,-54,146900,147900,2536,8464,-2336,OK
20.75,auto,Tick,171,117,54,-64,147500,147900,2683,1490317,517,OK
